pid	pname	cid	cname	gpid	gpname	gcid	gcname
110000	北京市	110100	市辖区	2	北京	201	北京
110000	北京市	110200	县	2	北京	201	北京
120000	天津市	120100	市辖区	26	天津	2601	天津
120000	天津市	120200	县	26	天津	2601	天津
130000	河北省	130100	石家庄市	9	河北	901	石家庄
130000	河北省	130200	唐山市	9	河北	902	唐山
130000	河北省	130300	秦皇岛市	9	河北	905	秦皇岛
130000	河北省	130400	邯郸市	9	河北	907	邯郸
130000	河北省	130500	邢台市	9	河北	903	邢台
130000	河北省	130600	保定市	9	河北	910	保定
130000	河北省	130700	张家口市	9	河北	911	张家口
130000	河北省	130800	承德市	9	河北	912	承德
130000	河北省	130900	沧州市	9	河北	909	沧州
130000	河北省	131000	廊坊市	9	河北	906	廊坊
130000	河北省	131100	衡水市	9	河北	908	衡水
140000	山西省	140100	太原市	22	山西	2201	太原
140000	山西省	140200	大同市	22	山西	2202	大同
140000	山西省	140300	阳泉市	22	山西	2218	阳泉
140000	山西省	140400	长治市	22	山西	2206	长治
140000	山西省	140500	晋城市	22	山西	2203	晋城
140000	山西省	140600	朔州市	22	山西	2219	朔州
140000	山西省	140700	晋中市	22	山西	2204	晋中
140000	山西省	140800	运城市	22	山西	2207	运城
140000	山西省	140900	忻州市	22	山西	2210	忻州
140000	山西省	141000	临汾市	22	山西	2205	临汾
140000	山西省	141100	吕梁市	22	山西	2227	吕梁
150000	内蒙古自治区	150100	呼和浩特市	18	内蒙古	1801	呼和浩特
150000	内蒙古自治区	150200	包头市	18	内蒙古	1802	包头
150000	内蒙古自治区	150300	乌海市	18	内蒙古	1805	乌海
150000	内蒙古自治区	150400	赤峰市	18	内蒙古	1803	赤峰
150000	内蒙古自治区	150500	通辽市	18	内蒙古	1804	通辽
150000	内蒙古自治区	150600	鄂尔多斯市	18	内蒙古	1808	鄂尔多斯
150000	内蒙古自治区	150700	呼伦贝尔市	18	内蒙古	1812	呼伦贝尔
150000	内蒙古自治区	150800	巴彦淖尔市	18	内蒙古	1824	巴彦淖尔
150000	内蒙古自治区	150900	乌兰察布市	18	内蒙古	1825	乌兰察布
150000	内蒙古自治区	152200	兴安盟	18	内蒙古	1814	兴安盟
150000	内蒙古自治区	152500	锡林郭勒盟	18	内蒙古	1829	锡林郭勒
150000	内蒙古自治区	152900	阿拉善盟	18	内蒙古	1830	阿拉善盟
210000	辽宁省	210100	沈阳市	17	辽宁	1701	沈阳
210000	辽宁省	210200	大连市	17	辽宁	1708	大连
210000	辽宁省	210300	鞍山市	17	辽宁	1710	鞍山
210000	辽宁省	210400	抚顺市	17	辽宁	1703	抚顺
210000	辽宁省	210500	本溪市	17	辽宁	1709	本溪
210000	辽宁省	210600	丹东市	17	辽宁	1702	丹东
210000	辽宁省	210700	锦州市	17	辽宁	1711	锦州
210000	辽宁省	210800	营口市	17	辽宁	1714	营口
210000	辽宁省	210900	阜新市	17	辽宁	1704	阜新
210000	辽宁省	211000	辽阳市	17	辽宁	1713	辽阳
210000	辽宁省	211100	盘锦市	17	辽宁	1716	盘锦
210000	辽宁省	211200	铁岭市	17	辽宁	1717	铁岭
210000	辽宁省	211300	朝阳市	17	辽宁	1707	朝阳
210000	辽宁省	211400	葫芦岛市	17	辽宁	1705	葫芦岛
220000	吉林省	220100	长春市	14	吉林	1401	长春
220000	吉林省	220200	吉林市	14	吉林	1402	吉林
220000	吉林省	220300	四平市	14	吉林	1402	吉林
220000	吉林省	220400	辽源市	14	吉林	1402	吉林
220000	吉林省	220500	通化市	14	吉林	1402	吉林
220000	吉林省	220600	白山市	14	吉林	1402	吉林
220000	吉林省	220700	松原市	14	吉林	1402	吉林
220000	吉林省	220800	白城市	14	吉林	1402	吉林
220000	吉林省	222400	延边朝鲜族自治州	14	吉林	1402	吉林
230000	黑龙江省	230100	哈尔滨市	11	黑龙江	1101	哈尔滨
230000	黑龙江省	230200	齐齐哈尔市	11	黑龙江	1103	齐齐哈尔
230000	黑龙江省	230300	鸡西市	11	黑龙江	1107	鸡西
230000	黑龙江省	230400	鹤岗市	11	黑龙江	1104	鹤岗
230000	黑龙江省	230500	双鸭山市	11	黑龙江	1123	双鸭山
230000	黑龙江省	230600	大庆市	11	黑龙江	1102	大庆
230000	黑龙江省	230700	伊春市	11	黑龙江	1112	伊春
230000	黑龙江省	230800	佳木斯市	11	黑龙江	1106	佳木斯
230000	黑龙江省	230900	七台河市	11	黑龙江	1109	七台河
230000	黑龙江省	231000	牡丹江市	11	黑龙江	1108	牡丹江
230000	黑龙江省	231100	黑河市	11	黑龙江	1113	黑河
230000	黑龙江省	231200	绥化市	11	黑龙江	1131	绥化
230000	黑龙江省	232700	大兴安岭地区	11	黑龙江	1136	大兴安岭
310000	上海市	310100	市辖区	24	上海	2401	上海
320000	江苏省	320100	南京市	15	江苏	1501	南京
320000	江苏省	320200	无锡市	15	江苏	1503	无锡
320000	江苏省	320300	徐州市	15	江苏	1518	徐州
320000	江苏省	320400	常州市	15	江苏	1505	常州
320000	江苏省	320500	苏州市	15	江苏	1502	苏州
320000	江苏省	320600	南通市	15	江苏	1511	南通
320000	江苏省	320700	连云港市	15	江苏	1510	连云港
320000	江苏省	320800	淮安市	15	江苏	1507	淮安
320000	江苏省	320900	盐城市	15	江苏	1512	盐城
320000	江苏省	321000	扬州市	15	江苏	1513	扬州
320000	江苏省	321100	镇江市	15	江苏	1515	镇江
320000	江苏省	321200	泰州市	15	江苏	1517	泰州
320000	江苏省	321300	宿迁市	15	江苏	1520	宿迁
330000	浙江省	330100	杭州市	30	浙江	3001	杭州
330000	浙江省	330200	宁波市	30	浙江	3002	宁波
330000	浙江省	330300	温州市	30	浙江	3003	温州
