省编码	省名称	市编码	市名称	区县编码	区县名称	百姓省	市代码	百姓市	区县代码	百姓区县
110000	北京市	110100	市辖区	110101	东城区	北京	beijing	北京	m7293	东城/崇文
110000	北京市	110100	市辖区	110102	西城区	北京	beijing	北京	m7292	西城/宣武
110000	北京市	110100	市辖区	110105	朝阳区	北京	beijing	北京	m7294	朝阳
110000	北京市	110100	市辖区	110106	丰台区	北京	beijing	北京	m7289	丰台
110000	北京市	110100	市辖区	110107	石景山区	北京	beijing	北京	m7288	石景山
110000	北京市	110100	市辖区	110108	海淀区	北京	beijing	北京	m7295	海淀
110000	北京市	110100	市辖区	110109	门头沟区	北京	beijing	北京	m7278	门头沟
110000	北京市	110100	市辖区	110111	房山区	北京	beijing	北京	m7287	房山
110000	北京市	110100	市辖区	110112	通州区	北京	beijing	北京	m7285	通州
110000	北京市	110100	市辖区	110113	顺义区	北京	beijing	北京	m7284	顺义
110000	北京市	110100	市辖区	110114	昌平区	北京	beijing	北京	m7283	昌平
110000	北京市	110100	市辖区	110115	大兴区	北京	beijing	北京	m7286	大兴
110000	北京市	110100	市辖区	110116	怀柔区	北京	beijing	北京	m7281	怀柔
110000	北京市	110100	市辖区	110117	平谷区	北京	beijing	北京	m7279	平谷
110000	北京市	110200	县	110228	密云县	北京	beijing	北京	m7282	密云
110000	北京市	110200	县	110229	延庆县	北京	beijing	北京	m7280	延庆
120000	天津市	120100	市辖区	120101	和平区	天津	tianjin	天津	m7244	和平
120000	天津市	120100	市辖区	120102	河东区	天津	tianjin	天津	m7243	河东
120000	天津市	120100	市辖区	120103	河西区	天津	tianjin	天津	m7242	河西
120000	天津市	120100	市辖区	120104	南开区	天津	tianjin	天津	m7241	南开
120000	天津市	120100	市辖区	120105	河北区	天津	tianjin	天津	m7240	河北
120000	天津市	120100	市辖区	120106	红桥区	天津	tianjin	天津	m7239	红桥
120000	天津市	120100	市辖区	120111	西青区	天津	tianjin	天津	m7234	西青
120000	天津市	120100	市辖区	120112	津南区	天津	tianjin	天津	m7232	津南
120000	天津市	120100	市辖区	120113	北辰区	天津	tianjin	天津	m7233	北辰
120000	天津市	120100	市辖区	120114	武清区	天津	tianjin	天津	m7231	武清
120000	天津市	120100	市辖区	120115	宝坻区	天津	tianjin	天津	m7230	宝坻
120000	天津市	120100	市辖区	120116	滨海新区	天津	tianjin	天津	m7238	滨海新区/塘沽/大港/汉沽
120000	天津市	120200	县	120221	宁河县	天津	tianjin	天津	m7228	宁河
120000	天津市	120200	县	120223	静海县	天津	tianjin	天津	m7229	静海
120000	天津市	120200	县	120225	蓟县	天津	tianjin	天津	m7227	蓟县
130000	河北省	130100	石家庄市	130101	市辖区					
130000	河北省	130100	石家庄市	130102	长安区	河北	shijiazhuang	石家庄	m6826	长安
130000	河北省	130100	石家庄市	130103	桥东区	河北	shijiazhuang	石家庄	m6825	桥东
130000	河北省	130100	石家庄市	130104	桥西区	河北	shijiazhuang	石家庄	m6824	桥西
130000	河北省	130100	石家庄市	130105	新华区	河北	shijiazhuang	石家庄	m6823	新华
130000	河北省	130100	石家庄市	130107	井陉矿区	河北	shijiazhuang	石家庄	m6821	井陉矿区
130000	河北省	130100	石家庄市	130108	裕华区	河北	shijiazhuang	石家庄	m6822	裕华
130000	河北省	130100	石家庄市	130121	井陉县	河北	shijiazhuang	石家庄	m6815	井陉
130000	河北省	130100	石家庄市	130123	正定县	河北	shijiazhuang	石家庄	m6814	正定
130000	河北省	130100	石家庄市	130124	栾城县	河北	shijiazhuang	石家庄	m6813	栾城
130000	河北省	130100	石家庄市	130125	行唐县	河北	shijiazhuang	石家庄	m6812	行唐
130000	河北省	130100	石家庄市	130126	灵寿县	河北	shijiazhuang	石家庄	m6811	灵寿
130000	河北省	130100	石家庄市	130127	高邑县	河北	shijiazhuang	石家庄	m6810	高邑
