//宝龙#宝龙汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
克莱斯勒#北京奔驰#合资=克莱斯勒#北京克莱斯勒:Y|奔驰#北京奔驰|克莱斯勒#东南汽车|克莱斯勒#克莱斯勒(进口)|奔驰#福建奔驰
奔驰#北京奔驰#合资=奔驰#北京奔驰:Y|奔驰#福建奔驰|奔驰#奔驰(进口)|奔驰#奔驰AMG|北京汽车#北京汽车
Jeep#北京吉普#合资=Jeep#北京吉普:Y|Jeep#Jeep|三菱#北京吉普|Jeep#SRT|现代#北京现代
三菱#北京吉普#合资=三菱#北京吉普:Y|Jeep#北京吉普|三菱#三菱(进口)|三菱#东南汽车|三菱#广汽三菱
绅宝#北京汽车#国产=绅宝#北京汽车:Y|北京汽车#北京汽车|现代#北京现代|奔驰#北京奔驰|克莱斯勒#北京克莱斯勒
北京#北京汽车#国产=北京汽车#北京汽车:Y|现代#北京现代|奔驰#北京奔驰|绅宝#北京汽车|克莱斯勒#北京克莱斯勒
威旺#北京汽车#国产=北汽威旺#北京汽车:Y|北京汽车#北京汽车|现代#北京现代|奔驰#北京奔驰|绅宝#北京汽车
幻速#北京汽车#国产=北汽幻速#北汽银翔:Y|北京汽车#北京汽车|现代#北京现代|奔驰#北京奔驰|绅宝#北京汽车
现代#北京现代#合资=现代#北京现代:Y|现代#现代(进口)|北京汽车#北京汽车|奔驰#北京奔驰|绅宝#北京汽车
北汽#北汽股份#国产=北汽新能源#北汽新能源|北汽威旺#北京汽车|北汽幻速#北汽银翔|北汽制造#北京汽车制造厂:Y|现代#北京现代
//西安奥拓#比亚迪汽车#国产=比亚迪#比亚迪|腾势#比亚迪戴姆勒|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
比亚迪#比亚迪汽车#国产=比亚迪#比亚迪:Y|腾势#比亚迪戴姆勒|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它
铃木#昌河铃木#合资=铃木#昌河铃木:Y|昌河#昌河汽车|铃木#长安铃木|铃木#铃木(进口)|现代#北京现代
//大迪#大迪汽车#国产=现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车|大众#大众(进口)
本田#东风本田#合资=本田#东风本田:Y|思铭#东风本田|本田#广汽本田|本田#本田(进口)|理念#广汽本田
思铭#东风本田#国产=思铭#东风本田:Y|本田#东风本田|本田#广汽本田|本田#本田(进口)|理念#广汽本田
标致#东风标致#合资=标致#东风标致:Y|标致#标致(进口)|DS#长安标致雪铁龙|东风#东风汽车|东风小康#东风小康
风神#东风汽车#国产=东风风神#东风乘用车:Y|东风#东风汽车|东风小康#东风小康|日产#东风日产|东风风行#东风风行
东风小康#东风汽车#国产=东风小康#东风小康:Y|东风#东风汽车|日产#东风日产|东风风行#东风风行|标致#东风标致
东风#东风汽车#国产=东风#东风汽车:Y|东风小康#东风小康|日产#东风日产|东风风行#东风风行|标致#东风标致
风行#东风汽车#国产=东风风行#东风风行:Y|东风#东风汽车|东风小康#东风小康|日产#东风日产|标致#东风标致
日产#东风日产#合资=日产#东风日产:Y|启辰#东风日产|日产#郑州日产|日产#日产(进口)|日产#其它
启辰#东风日产#国产=启辰#东风日产:Y|日产#东风日产|日产#郑州日产|日产#日产(进口)|日产#其它
雪铁龙#东风雪铁龙#合资=雪铁龙#东风雪铁龙:Y|雪铁龙#雪铁龙(进口)|DS#雪铁龙(进口)|DS#长安标致雪铁龙|东风#东风汽车
纳智捷#东风裕隆#合资=纳智捷#东风裕隆:Y|东风#东风汽车|东风小康#东风小康|日产#东风日产|东风风行#东风风行
起亚#东风悦达起亚#合资=起亚#东风悦达起亚:Y|起亚#起亚(进口)|东风#东风汽车|东风小康#东风小康|日产#东风日产
东南#东南汽车#国产=东南#东南汽车:Y|三菱#东南汽车|克莱斯勒#东南汽车|道奇#东南汽车|现代#北京现代
道奇#东南汽车#合资=道奇#东南汽车:Y|道奇#道奇(进口)|东南#东南汽车|三菱#东南汽车|克莱斯勒#东南汽车
克莱斯勒#东南汽车#合资=克莱斯勒#东南汽车:Y|东南#东南汽车|克莱斯勒#克莱斯勒(进口)|克莱斯勒#北京克莱斯勒|三菱#东南汽车
三菱#东南汽车#合资=三菱#东南汽车:Y|东南#东南汽车|三菱#北京吉普|三菱#三菱(进口)|克莱斯勒#东南汽车
福迪#福迪汽车#国产=福迪#福迪汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
奔驰#福建奔驰#合资=奔驰#福建奔驰:Y|奔驰#奔驰(进口)|奔驰#北京奔驰|奔驰#奔驰AMG|现代#北京现代
启腾#福汽新龙马#国产=福汽启腾#福汽新龙马:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
福田#福田汽车#国产=福田#福田汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
观致#观致汽车#合资=观致#观致汽车:Y|现代#北京现代|五菱汽车#上汽通用五菱|大众#其它|长城#长城汽车
本田#广汽本田#合资=本田#广汽本田:Y|理念#广汽本田|本田#东风本田|本田#本田(进口)|思铭#东风本田
理念#广汽本田#国产=理念#广汽本田:Y|本田#广汽本田|本田#东风本田|本田#本田(进口)|思铭#东风本田
