CBT0108M0003	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动
CBT0108M0001	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动 化油器
CDD0128M0001	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油豪华型 排半
CDD0122M0004	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 超豪华型 双排 汽油 教练车
CDD0122M0001	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 豪华型 排半 汽油
CDD0128M0002	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油超豪华型 排半
CDD0122M0003	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 豪华型 双排 汽油 教练车
CDD0128M0004	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油超豪华型 双排 教练车
CDD0122M0002	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 超豪华型 排半 汽油
CDD0128M0003	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油豪华型 双排 教练车
CDD0222M0002	大迪#大迪汽车#奥顺皮卡#奥顺皮卡#2.2 手动 双排 超豪华型 加长版 汽油
CDD0222M0001	大迪#大迪汽车#奥顺皮卡#奥顺皮卡#2.2 手动 双排 豪华型 加长版 汽油
CDD0228M0002	大迪#大迪汽车#奥顺皮卡#奥顺皮卡#2.8T 手动 柴油豪华型 双排
CHT0615M0002	华泰#华泰汽车#路盛E70#路盛E70#1.5T 手动 尊贵型
CHT0615M0001	华泰#华泰汽车#路盛E70#路盛E70#1.5T 手动 舒适型
CHT0615A0001	华泰#华泰汽车#路盛E70#路盛E70#1.5T 手自一体 尊贵型
CHM1218A0001	海马#一汽海马#M8#M8#1.8 手自一体 尊贵型
CHM1218A0002	海马#一汽海马#M8#M8#1.8 手自一体 行政型
CCT1912M0003	长安商用#长安汽车#V5#V5#1.2 手动 标准型NP12
CCT1912M0002	长安商用#长安汽车#V5#V5#1.2 手动 舒适型DK12
CCT1915M0001	长安商用#长安汽车#V5#V5#1.5 手动 舒适型DAM15R
CCT1912M0004	长安商用#长安汽车#V5#V5#1.2 手动 标准型DK12
CCT1912M0001	长安商用#长安汽车#V5#V5#1.2 手动 舒适型NP12
CCT1915M0002	长安商用#长安汽车#V5#V5#1.5 手动 标准型DAM15R
AGM0143A0012	GMC#通用汽车#Safari [旅行]#Safari [旅行]#4.3 自动
AGM0243A0008	GMC#通用汽车#Savana [赛威]#Savana [赛威]#4.3 自动
AGM0343A0005	GMC#通用汽车#Jimmy#Jimmy#4.3 自动 五门
AGM0343M0007	GMC#通用汽车#Jimmy#Jimmy#4.3 手动 三门
ACJ0125A0007	Jeep#克莱斯勒#Grand Cherokee [大切诺基]#Grand Cherokee [大切诺基]#2.5 自动 柴油
ACJ0152A0007	Jeep#克莱斯勒#Grand Cherokee [大切诺基]#Grand Cherokee [大切诺基]#5.2 自动 四驱
ACJ0159A0007	Jeep#克莱斯勒#Grand Cherokee [大切诺基]#Grand Cherokee [大切诺基]#5.9 自动 四驱
ACJ0325M0009	Jeep#克莱斯勒#Cherokee [切诺基]#Cherokee [切诺基]#2.5i 手动
ACJ0325M0010	Jeep#克莱斯勒#Cherokee [切诺基]#Cherokee [切诺基]#2.5 手动 柴油
ACJ0340A0005	Jeep#克莱斯勒#Cherokee [切诺基]#Cherokee [切诺基]#4.0 自动
GBS0106A0015	Smart#奔驰汽车#Fortwo#Fortwo Coupe#0.6 自动 City 62hp
GBS0106A0014	Smart#奔驰汽车#Fortwo#Fortwo Coupe#0.6 自动 City 55hp
GBS0106A0013	Smart#奔驰汽车#Fortwo#Fortwo Coupe#0.6 自动 City 45hp
EAM0153M0005	阿斯顿马丁#阿斯顿·马丁#Virage#Virage Volante [Virage 敞篷]#5.3 手动
EAM0254M0006	阿斯顿马丁#阿斯顿·马丁#Vantage#V8 Vantage#5.4 手动
EAM0332A0013	阿斯顿马丁#阿斯顿·马丁#DB7#DB7#3.2 手自一体
EAM0332A0014	阿斯顿马丁#阿斯顿·马丁#DB7#DB7#3.2 自动
