CBL0130M0004	三菱#北京吉普#帕杰罗速跑#帕杰罗速跑#3.0 手动 GLS
CBH0218M0012	现代#北京现代#伊兰特#伊兰特-三厢#1.8 手动 豪华型
CBH0518M0029	现代#北京现代#悦动#悦动#1.8 手动 豪华型导航版
CBH0518M0038	现代#北京现代#悦动#悦动#1.8 手动 豪华型
CBH0518M0039	现代#北京现代#悦动#悦动#1.8 手动 顶级型
CBH0720M0009	现代#北京现代#ix35#ix35#2.0 手动 GL 两驱新锐型
CBH0720M0011	现代#北京现代#ix35#ix35#2.0 手动 GL 两驱舒适型
CBH0816M0038	现代#北京现代#i30#i30#1.6 手动 劲享型
CBH0816M0037	现代#北京现代#i30#i30#1.6 手动 舒享型
CBH0816M0039	现代#北京现代#i30#i30#1.6 手动 豪享型
CBH0820M0006	现代#北京现代#i30#i30#2.0 手动 尊享型
CBH1016M0012	现代#北京现代#朗动#朗动#1.6 手动 GLX 领先型
CBH1016M0011	现代#北京现代#朗动#朗动#1.6 手动 GS 时尚型
CBH1018M0006	现代#北京现代#朗动#朗动#1.8 手动 DLX 尊贵型
CBH1124M0006	现代#北京现代#胜达#新胜达#2.4 手动 GL 两驱舒适型5座
CBH1218M0004	现代#北京现代#名图#名图#1.8 手动 GL 舒适版
CBT0108M0003	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动
CBT0108M0001	西安奥拓#比亚迪汽车#西安奥拓#西安奥拓#0.8 手动 化油器
CBY0215D0004	比亚迪#比亚迪汽车#F3#F3#1.5 双离合 舒适型
CBY0215D0005	比亚迪#比亚迪汽车#F3#F3#1.5 双离合 标准型
CBY0215D0007	比亚迪#比亚迪汽车#F3#F3#1.5 双离合 豪华型
CBY0215D0008	比亚迪#比亚迪汽车#F3#F3#1.5 双离合 尊贵型
CBY0520M0019	比亚迪#比亚迪汽车#S8#S8#2.0 手动 尊贵型
CBY0520M0020	比亚迪#比亚迪汽车#S8#S8#2.0 手动 旗舰型
CDD0128M0001	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.8T 手动 柴油豪华型 排半
CDD0122M0004	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 超豪华型 双排 汽油 教练车
CDD0122M0001	大迪#大迪汽车#大迪皮卡#大迪皮卡#2.2 手动 豪华型 排半 汽油
